[26.04.2017 | 11:55:20] Pos: -997.5, -1241.6, 131.7 | OldPos: -1015.9, -1279.7 | OldOldPos: -1015.9, -1279.7 | PlayerLevel: 1 | Name: Vladislav_Fest | Ping: 73 | Warnings: 0
[26.04.2017 | 12:39:00] Pos: 1314.0, -1855.8, 13.3 | OldPos: 1257.7, -1853.2 | OldOldPos: 1257.4, -1853.2 | PlayerLevel: 1 | Name: Chiyo_Harada | Ping: 78 | Warnings: 0
[26.04.2017 | 12:39:32] Pos: 2231.1, -2285.3, 11.8 | OldPos: 2179.1, -2255.0 | OldOldPos: 2179.1, -2255.0 | PlayerLevel: 1 | Name: Ivan_Maksimovich | Ping: 83 | Warnings: 0
[26.04.2017 | 12:42:58] Pos: 1828.9, -1309.0, 109.3 | OldPos: 1787.0, -1304.0 | OldOldPos: 1787.0, -1304.0 | PlayerLevel: 1 | Name: Nexus_Rampagy | Ping: 89 | Warnings: 0
[26.04.2017 | 12:44:45] Pos: 1675.3, -1873.5, 26.7 | OldPos: 1707.0, -1879.6 | OldOldPos: 1733.7, -1878.9 | PlayerLevel: 1 | Name: Polina_Yamamoto | Ping: 81 | Warnings: 0
[26.04.2017 | 13:34:20] Pos: 1351.9, -1875.1, 22.6 | OldPos: 1595.9, -1870.3 | OldOldPos: 1596.1, -1870.3 | PlayerLevel: 1 | Name: Anton_Yashin | Ping: 73 | Warnings: 0
[26.04.2017 | 14:06:09] Pos: 1344.7, -1736.3, 13.3 | OldPos: 1455.9, -1721.9 | OldOldPos: 1455.9, -1721.9 | PlayerLevel: 2 | Name: LeoneI_Messi | Ping: 94 | Warnings: 0
[26.04.2017 | 14:39:19] Pos: -1631.2, -867.1, 129.2 | OldPos: -1679.3, -867.6 | OldOldPos: -1720.8, -869.8 | PlayerLevel: 1 | Name: Matilbda_Medvedev | Ping: 111 | Warnings: 3
[26.04.2017 | 14:41:46] Pos: 1534.9, -1258.4, 277.8 | OldPos: 1558.2, -1236.4 | OldOldPos: 1560.3, -1232.2 | PlayerLevel: 1 | Name: Bobby_White | Ping: 85 | Warnings: 0
[26.04.2017 | 14:59:08] Pos: 1173.0, -1696.3, 22.2 | OldPos: 1219.8, -1708.2 | OldOldPos: 1219.8, -1708.2 | PlayerLevel: 1 | Name: Igor_Chupin | Ping: 84 | Warnings: 0
[26.04.2017 | 15:12:45] Pos: 1397.8, -1586.2, 13.3 | OldPos: 1443.6, -1599.9 | OldOldPos: 1478.8, -1597.1 | PlayerLevel: 1 | Name: Artem_Ilyin | Ping: 111 | Warnings: 3
[26.04.2017 | 15:24:04] Pos: 593.1, 824.0, -31.8 | OldPos: 623.1, 847.9 | OldOldPos: 623.1, 847.9 | PlayerLevel: 2 | Name: LeoneI_Messi | Ping: 92 | Warnings: 0
[26.04.2017 | 15:31:27] Pos: 484.5, 892.1, 23.6 | OldPos: 515.3, 887.5 | OldOldPos: 539.0, 868.8 | PlayerLevel: 13 | Name: Andy_Normand | Ping: 127 | Warnings: 3
[26.04.2017 | 15:31:59] Pos: 634.0, 825.6, -6.8 | OldPos: 586.1, 815.4 | OldOldPos: 551.1, 817.6 | PlayerLevel: 13 | Name: Andy_Normand | Ping: 106 | Warnings: 3
[26.04.2017 | 15:33:03] Pos: 1922.3, -1892.6, 30.3 | OldPos: 1880.3, -1894.4 | OldOldPos: 1841.5, -1896.1 | PlayerLevel: 1 | Name: WalkCat | Ping: 87 | Warnings: 0
[26.04.2017 | 15:41:10] Pos: 1654.1, -1885.3, 35.0 | OldPos: 1686.5, -1891.0 | OldOldPos: 1714.5, -1895.9 | PlayerLevel: 1 | Name: Markus_Locko | Ping: 79 | Warnings: 0
[26.04.2017 | 15:42:45] Pos: 2052.3, -1944.5, 28.3 | OldPos: 2013.0, -1950.7 | OldOldPos: 1978.4, -1946.8 | PlayerLevel: 1 | Name: Oleg_Mrochko | Ping: 69 | Warnings: 0
[26.04.2017 | 15:42:54] Pos: -1657.1, 395.2, 7.0 | OldPos: -1612.8, 433.5 | OldOldPos: -1585.9, 456.8 | PlayerLevel: 13 | Name: Andy_Normand | Ping: 105 | Warnings: 3
[26.04.2017 | 15:55:42] Pos: -1227.4, -570.4, 14.1 | OldPos: -1200.8, -552.6 | OldOldPos: -1200.7, -552.6 | PlayerLevel: 1 | Name: Dim_Lavazzy | Ping: 69 | Warnings: 0
