[1.05.2017 | 18:14:04] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: Golub_Afanasi
[1.05.2017 | 18:16:50] WeaponInfo[playerid][27]: 0 | PlayerLevel: 4 | Name: Alejandro_Contreras
[1.05.2017 | 19:13:13] WeaponInfo[playerid][31]: 0 | PlayerLevel: 11 | Name: Scott_Storch
[1.05.2017 | 19:27:06] WeaponInfo[playerid][29]: 0 | PlayerLevel: 7 | Name: Roman_Gorgadze
[1.05.2017 | 19:40:09] WeaponInfo[playerid][6]: 0 | PlayerLevel: 4 | Name: Eldar_Jarakhov
[1.05.2017 | 19:47:05] WeaponInfo[playerid][31]: 0 | PlayerLevel: 7 | Name: Danil_Maksemenko
[1.05.2017 | 19:52:01] WeaponInfo[playerid][31]: 0 | PlayerLevel: 7 | Name: Roman_Gorgadze
[1.05.2017 | 19:52:14] WeaponInfo[playerid][38]: 0 | PlayerLevel: 4 | Name: Jessica_Contreras
[1.05.2017 | 20:33:54] WeaponInfo[playerid][31]: 0 | PlayerLevel: 2 | Name: Hisao_Yasuda
[1.05.2017 | 20:56:15] WeaponInfo[playerid][24]: 0 | PlayerLevel: 3 | Name: Jhonny_Kasper
[1.05.2017 | 21:19:45] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Sucre_Pidor
[1.05.2017 | 21:22:32] WeaponInfo[playerid][24]: 0 | PlayerLevel: 7 | Name: Tanaka_Hugo
[1.05.2017 | 22:36:36] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: Jessica_Contreras
[1.05.2017 | 22:52:19] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Mikle_Foretti
[1.05.2017 | 22:59:19] WeaponInfo[playerid][31]: 0 | PlayerLevel: 3 | Name: Hizzy_Lein
[1.05.2017 | 23:01:10] WeaponInfo[playerid][29]: 0 | PlayerLevel: 5 | Name: Jessica_Contreras
[2.05.2017 | 00:23:56] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Alessandro_Rondazo
[2.05.2017 | 08:27:32] WeaponInfo[playerid][22]: 0 | PlayerLevel: 1 | Name: Bob_Bloody
[2.05.2017 | 12:51:37] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Alex_Smouke
[2.05.2017 | 14:42:08] WeaponInfo[playerid][31]: 0 | PlayerLevel: 3 | Name: Artem_Lopatov
[2.05.2017 | 14:44:36] WeaponInfo[playerid][30]: 0 | PlayerLevel: 1 | Name: Dmitry_Angry
[2.05.2017 | 14:49:11] WeaponInfo[playerid][30]: 0 | PlayerLevel: 1 | Name: Dmitry_Angryt
[2.05.2017 | 15:48:27] WeaponInfo[playerid][30]: 0 | PlayerLevel: 6 | Name: Mike_Lazy
[2.05.2017 | 15:59:10] WeaponInfo[playerid][24]: 0 | PlayerLevel: 6 | Name: Mike_Lazy
[2.05.2017 | 16:10:06] WeaponInfo[playerid][25]: 0 | PlayerLevel: 6 | Name: Mike_Lazy
[2.05.2017 | 16:20:46] WeaponInfo[playerid][24]: 0 | PlayerLevel: 6 | Name: Mike_Lazy
[2.05.2017 | 16:31:38] WeaponInfo[playerid][9]: 0 | PlayerLevel: 1 | Name: Bab_Ka
[2.05.2017 | 16:32:38] WeaponInfo[playerid][25]: 0 | PlayerLevel: 6 | Name: Mike_Lazy
[2.05.2017 | 17:36:35] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Abdula_Grigoryan
[2.05.2017 | 17:53:35] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Mati_Savage
[2.05.2017 | 18:57:59] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Maks_Top
[2.05.2017 | 22:19:19] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Sasha_Guseva
[3.05.2017 | 02:33:08] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Sara_Connor
[3.05.2017 | 04:51:13] WeaponInfo[playerid][34]: 0 | PlayerLevel: 3 | Name: Freddy_Krygger
[3.05.2017 | 11:36:23] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Mikhail_Minogd
[3.05.2017 | 11:52:34] WeaponInfo[playerid][31]: 0 | PlayerLevel: 14 | Name: Tolya_Tempo
[3.05.2017 | 13:05:39] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Linus_Vectotive
[3.05.2017 | 15:58:30] WeaponInfo[playerid][1]: 0 | PlayerLevel: 1 | Name: Maxim_Kandratyev
[3.05.2017 | 16:36:11] WeaponInfo[playerid][3]: 0 | PlayerLevel: 5 | Name: Daniel_Piana
[3.05.2017 | 17:45:03] WeaponInfo[playerid][1]: 0 | PlayerLevel: 2 | Name: Liam_Gallotta
[3.05.2017 | 19:57:31] WeaponInfo[playerid][34]: 0 | PlayerLevel: 3 | Name: Mitrofan_Krestovski
[4.05.2017 | 15:40:26] WeaponInfo[playerid][24]: 0 | PlayerLevel: 14 | Name: Hershel_Reddington
[4.05.2017 | 15:41:17] WeaponInfo[playerid][17]: 0 | PlayerLevel: 7 | Name: Semyon_Magamedov
[4.05.2017 | 15:42:02] WeaponInfo[playerid][31]: 0 | PlayerLevel: 7 | Name: Semyon_Magamedov
[4.05.2017 | 15:42:07] WeaponInfo[playerid][31]: 0 | PlayerLevel: 9 | Name: Samuel_Tequezza
[4.05.2017 | 15:44:25] WeaponInfo[playerid][24]: 0 | PlayerLevel: 13 | Name: Leonid_Moshkov
[4.05.2017 | 21:09:03] WeaponInfo[playerid][31]: 0 | PlayerLevel: 3 | Name: Oscar_Fleming
[4.05.2017 | 21:55:43] WeaponInfo[playerid][28]: 0 | PlayerLevel: 1 | Name: Ilya_Deletero
[5.05.2017 | 01:16:33] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Famous_Dex
[5.05.2017 | 12:34:06] WeaponInfo[playerid][31]: 0 | PlayerLevel: 4 | Name: Kirsten_Mason
[5.05.2017 | 15:00:21] WeaponInfo[playerid][34]: 0 | PlayerLevel: 23 | Name: David_Jasper
[5.05.2017 | 15:54:15] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: Maxim_Crazy
[5.05.2017 | 16:02:00] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Fedya_Pochkin
[5.05.2017 | 16:11:14] WeaponInfo[playerid][3]: 0 | PlayerLevel: 3 | Name: Ruslan_Ali
[5.05.2017 | 19:42:07] WeaponInfo[playerid][24]: 0 | PlayerLevel: 6 | Name: Cristopher_Rey
[5.05.2017 | 19:43:52] WeaponInfo[playerid][24]: 0 | PlayerLevel: 6 | Name: Alex_Jers
[5.05.2017 | 19:54:12] WeaponInfo[playerid][31]: 0 | PlayerLevel: 4 | Name: Nick_Harris
[5.05.2017 | 20:32:05] WeaponInfo[playerid][29]: 0 | PlayerLevel: 3 | Name: Igor_Dit
[6.05.2017 | 10:18:16] WeaponInfo[playerid][24]: 0 | PlayerLevel: 15 | Name: Arny_Veennel
[6.05.2017 | 11:15:29] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Danny_Shoter
[6.05.2017 | 11:29:58] WeaponInfo[playerid][23]: 0 | PlayerLevel: 1 | Name: Nikita_Chernov
[6.05.2017 | 11:54:19] WeaponInfo[playerid][30]: 0 | PlayerLevel: 1 | Name: Thomas_Woob
[6.05.2017 | 14:37:45] WeaponInfo[playerid][24]: 0 | PlayerLevel: 14 | Name: Tolya_Tempo
[6.05.2017 | 14:57:22] WeaponInfo[playerid][34]: 0 | PlayerLevel: 18 | Name: Egor_Kalashin
[6.05.2017 | 15:58:27] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Diego_Lorenzo
[6.05.2017 | 19:47:56] WeaponInfo[playerid][3]: 0 | PlayerLevel: 5 | Name: Riko_Riviero
[6.05.2017 | 23:14:20] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Vika_Mironova
[7.05.2017 | 00:14:08] WeaponInfo[playerid][31]: 0 | PlayerLevel: 1 | Name: Kiley_Harm
[7.05.2017 | 11:33:45] WeaponInfo[playerid][30]: 0 | PlayerLevel: 1 | Name: Antonio_Guerras
[7.05.2017 | 13:23:27] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Leonardo_Depsize
[7.05.2017 | 15:12:16] WeaponInfo[playerid][3]: 0 | PlayerLevel: 4 | Name: Maks_Arhipov
[7.05.2017 | 17:42:53] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Jayceon_Stacks
[7.05.2017 | 17:53:41] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Future
[7.05.2017 | 18:06:17] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Ruslan_Hadmulin
[7.05.2017 | 18:08:44] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Future
[7.05.2017 | 19:20:40] WeaponInfo[playerid][31]: 0 | PlayerLevel: 6 | Name: Alvaro_Andreas
[7.05.2017 | 19:50:44] WeaponInfo[playerid][14]: 0 | PlayerLevel: 1 | Name: Goga_Roga
[7.05.2017 | 22:16:18] WeaponInfo[playerid][31]: 0 | PlayerLevel: 3 | Name: Jayson_Grant
[7.05.2017 | 22:18:30] WeaponInfo[playerid][30]: 0 | PlayerLevel: 3 | Name: Charlie_Chaplin
[7.05.2017 | 22:22:37] WeaponInfo[playerid][30]: 0 | PlayerLevel: 1 | Name: Kesj_Rosa
[7.05.2017 | 22:24:24] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Kesj_Ros
[7.05.2017 | 22:26:45] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Kesj_Ro
[7.05.2017 | 23:38:04] WeaponInfo[playerid][6]: 0 | PlayerLevel: 1 | Name: Leo_Jordan
[8.05.2017 | 10:52:39] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Sketch_Mevil
[8.05.2017 | 11:44:59] WeaponInfo[playerid][32]: 0 | PlayerLevel: 3 | Name: Daniil_Popovv
[8.05.2017 | 12:46:53] WeaponInfo[playerid][24]: 0 | PlayerLevel: 11 | Name: Elizabeth_Johnson
[8.05.2017 | 13:01:34] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: fkjshudg_Tulina
[8.05.2017 | 13:32:42] WeaponInfo[playerid][2]: 0 | PlayerLevel: 2 | Name: Rule_Valve
[8.05.2017 | 14:33:13] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Sanya_Hokage
[8.05.2017 | 15:14:59] WeaponInfo[playerid][24]: 0 | PlayerLevel: 5 | Name: Alvaro_Traveling
[8.05.2017 | 15:15:10] WeaponInfo[playerid][24]: 0 | PlayerLevel: 2 | Name: Eric_Desiigner
[8.05.2017 | 15:15:19] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: Evan_Materazzi
[8.05.2017 | 15:15:33] WeaponInfo[playerid][24]: 0 | PlayerLevel: 4 | Name: James_Traveling
[8.05.2017 | 15:17:01] WeaponInfo[playerid][24]: 0 | PlayerLevel: 6 | Name: Egor_Medintsev
[8.05.2017 | 15:18:37] WeaponInfo[playerid][24]: 0 | PlayerLevel: 7 | Name: Vita_Comedoz
[8.05.2017 | 15:38:08] WeaponInfo[playerid][24]: 0 | PlayerLevel: 6 | Name: Dallas_Oldsem
[8.05.2017 | 17:03:37] WeaponInfo[playerid][30]: 0 | PlayerLevel: 1 | Name: Nec_Zip
[8.05.2017 | 17:09:40] WeaponInfo[playerid][24]: 0 | PlayerLevel: 1 | Name: Artyem_Markelov
