[25.04.2017 | 22:48:00] Pos: 2119.9, 1398.1, 10.3 | OldPos: 1673.1, -169.4 | OldOldPos: 1673.1, -169.4 | PlayerLevel: 2 | Name: Sava_Brain | Ping: 82 | Warnings: 0
[25.04.2017 | 23:01:39] Pos: 1805.6, 1002.0, 6.5 | OldPos: 1806.8, 921.1 | OldOldPos: 1806.8, 919.0 | PlayerLevel: 1 | Name: Mihail_Andropov | Ping: 67 | Warnings: 0
[25.04.2017 | 23:24:28] Pos: 1745.2, 512.8, 28.2 | OldPos: 1699.4, 382.1 | OldOldPos: 1699.4, 382.1 | PlayerLevel: 6 | Name: Nick_Kot | Ping: 66 | Warnings: 0
[26.04.2017 | 09:30:16] Pos: 1277.0, -1825.6, 13.3 | OldPos: 1042.5, -1815.5 | OldOldPos: 1042.5, -1815.5 | PlayerLevel: 1 | Name: Jarno_Dov | Ping: 77 | Warnings: 0
[26.04.2017 | 10:04:23] Pos: -2257.7, -215.3, 35.3 | OldPos: -2259.2, -257.1 | OldOldPos: -2259.3, -262.8 | PlayerLevel: 1 | Name: Max_Dragnel | Ping: 88 | Warnings: 0
[26.04.2017 | 10:20:16] Pos: 1587.7, -1442.5, 13.1 | OldPos: 1546.2, -1441.9 | OldOldPos: 1524.1, -1441.8 | PlayerLevel: 1 | Name: Danil_Barbaro | Ping: 56 | Warnings: 0
[26.04.2017 | 11:14:01] Pos: 571.3, -1737.7, 12.6 | OldPos: 525.8, -1731.1 | OldOldPos: 522.8, -1730.7 | PlayerLevel: 1 | Name: Dima_Chujko | Ping: 67 | Warnings: 0
[26.04.2017 | 13:18:26] Pos: 1160.7, -1713.8, 13.3 | OldPos: 1245.2, -1713.7 | OldOldPos: 1245.2, -1713.7 | PlayerLevel: 1 | Name: raina8060 | Ping: 88 | Warnings: 0
[26.04.2017 | 14:20:53] Pos: -2679.0, 576.9, 14.1 | OldPos: -95.9, 580.0 | OldOldPos: -95.9, 580.0 | PlayerLevel: 8 | Name: Fellix_Damiano | Ping: 69 | Warnings: 0
[26.04.2017 | 14:35:32] Pos: 2111.2, -1571.2, 25.3 | OldPos: 2111.0, -1523.7 | OldOldPos: 2111.0, -1521.5 | PlayerLevel: 3 | Name: Evod_Seller | Ping: 95 | Warnings: 0
[26.04.2017 | 14:35:43] Pos: 2234.6, -1652.3, 14.8 | OldPos: 2195.7, -1642.5 | OldOldPos: 2193.7, -1642.1 | PlayerLevel: 3 | Name: Evod_Seller | Ping: 89 | Warnings: 0
[26.04.2017 | 15:01:07] Pos: 543.2, -1269.3, 16.8 | OldPos: 1764.1, -1856.9 | OldOldPos: 1764.1, -1856.9 | PlayerLevel: 1 | Name: Nikita_BrainDit | Ping: 86 | Warnings: 0
[26.04.2017 | 15:26:22] Pos: 1182.4, -1330.7, 13.1 | OldPos: 1152.4, -1851.1 | OldOldPos: 1154.5, -1851.0 | PlayerLevel: 1 | Name: Ricardo_Moters | Ping: 85 | Warnings: 0
