[8.05.2017 | 00:05:57] Position: -678.696, 691.937, -0.274 | Velocity: -0.179, 0.117, 0.007 | PlayerLevel: 3 | Name: Zhenya_Neon
[8.05.2017 | 10:03:01] Position: -2050.504, -89.697, 35.619 | Velocity: 0.081, -0.197, -0.057 | PlayerLevel: 1 | Name: igor_fed
[8.05.2017 | 12:59:33] Position: -1051.371, -402.596, -0.410 | Velocity: 0.172, 0.116, 0.012 | PlayerLevel: 3 | Name: Zhenya_Neon
[8.05.2017 | 13:46:32] Position: -1411.772, 483.520, -0.070 | Velocity: 0.180, 0.063, 0.000 | PlayerLevel: 5 | Name: Illya_Yushchik
[8.05.2017 | 14:06:10] Position: -1478.575, 514.038, -0.227 | Velocity: 0.177, -0.075, -0.001 | PlayerLevel: 4 | Name: Sancho_Panso
[8.05.2017 | 14:50:16] Position: -1459.603, 494.404, -0.363 | Velocity: 0.188, -0.000, -0.000 | PlayerLevel: 4 | Name: Sancho_Panso
[8.05.2017 | 15:43:17] Position: 129.150, -1899.805, -0.213 | Velocity: 0.000, 0.000, 0.197 | PlayerLevel: 14 | Name: Carl_Retty
[8.05.2017 | 16:07:16] Position: -1079.746, -234.288, -0.295 | Velocity: -0.046, -0.182, -0.009 | PlayerLevel: 5 | Name: Larry_Davis
[8.05.2017 | 21:47:12] Position: 732.199, -1831.778, -0.546 | Velocity: 0.001, -0.188, 0.018 | PlayerLevel: 1 | Name: Quick_Silver
[9.05.2017 | 15:55:51] Position: 1601.411, -3879.567, -0.485 | Velocity: -0.005, 0.195, -0.006 | PlayerLevel: 4 | Name: Zhenya_Neon
[9.05.2017 | 18:45:11] Position: -1481.815, 507.478, -0.172 | Velocity: 0.185, -0.042, -0.001 | PlayerLevel: 5 | Name: Sancho_Panso
[10.05.2017 | 12:30:26] Position: 2173.243, 226.296, -0.495 | Velocity: -0.236, -0.559, 0.228 | PlayerLevel: 14 | Name: Carl_Retty
[10.05.2017 | 16:56:21] Position: 1195.097, -1343.559, 14.172 | Velocity: 0.075, -0.162, 0.065 | PlayerLevel: 1 | Name: Joe_Beer
[10.05.2017 | 20:17:34] Position: 526.575, -1917.002, -0.339 | Velocity: -0.212, -0.044, 0.000 | PlayerLevel: 1 | Name: Zachar_Wuzi
[10.05.2017 | 20:19:41] Position: 410.136, -1915.288, -0.353 | Velocity: 0.010, 0.188, 0.002 | PlayerLevel: 5 | Name: Brandon_Johns
[10.05.2017 | 21:46:36] Position: 720.046, -1613.487, -0.364 | Velocity: -0.217, -0.172, 0.004 | PlayerLevel: 13 | Name: Bulava_Gerera
[12.05.2017 | 10:38:04] Position: -164.662, 349.894, -0.337 | Velocity: 0.101, 0.167, -0.000 | PlayerLevel: 15 | Name: Carl_Retty
[12.05.2017 | 18:32:17] Position: 746.086, 621.583, 0.300 | Velocity: -0.137, -0.154, 0.000 | PlayerLevel: 8 | Name: Azumy_Sato
[13.05.2017 | 10:46:38] Position: 1827.978, -1923.550, 14.095 | Velocity: 0.059, -0.187, 0.117 | PlayerLevel: 1 | Name: Ricardo_Riverss
[13.05.2017 | 11:14:23] Position: 1263.992, -2396.552, 8.444 | Velocity: -0.155, 0.145, 0.006 | PlayerLevel: 1 | Name: Yukki_Amino
[13.05.2017 | 11:56:21] Position: 183.888, -425.414, -0.234 | Velocity: 0.057, 0.180, 0.001 | PlayerLevel: 5 | Name: Sancho_Panso
[13.05.2017 | 14:05:32] Position: 73.425, -1741.461, 0.023 | Velocity: -0.070, -0.195, -0.000 | PlayerLevel: 2 | Name: Marin_Mokano
[14.05.2017 | 18:17:18] Position: -106.166, -1494.245, 3.608 | Velocity: -0.189, 0.056, 0.050 | PlayerLevel: 1 | Name: Giga_Five
[14.05.2017 | 20:45:19] Position: 1900.193, -1519.963, 16.407 | Velocity: -0.978, -0.599, 0.275 | PlayerLevel: 1 | Name: Antuan_Sikoko
[14.05.2017 | 21:02:40] Position: 1859.755, -1880.850, 14.198 | Velocity: 0.219, -0.016, 0.072 | PlayerLevel: 1 | Name: Antuan_Saton
[15.05.2017 | 09:51:48] Position: -1201.448, 479.340, -0.346 | Velocity: 0.017, -0.202, 0.022 | PlayerLevel: 4 | Name: Viktor_Zubkov
[15.05.2017 | 18:21:47] Position: -848.879, 386.653, -0.488 | Velocity: 0.185, -0.125, 0.003 | PlayerLevel: 15 | Name: Carl_Retty
[16.05.2017 | 21:18:15] Position: -1991.603, 122.231, 33.846 | Velocity: 0.001, -0.145, 0.145 | PlayerLevel: 4 | Name: Sam_Surow
[16.05.2017 | 21:29:15] Position: -1978.159, 104.475, 28.395 | Velocity: 0.288, -0.067, -0.016 | PlayerLevel: 4 | Name: Sam_Surow
[16.05.2017 | 21:43:14] Position: -1940.091, 70.256, 26.877 | Velocity: 0.007, -0.205, 0.009 | PlayerLevel: 4 | Name: Sam_Surow
[17.05.2017 | 19:24:45] Position: -953.772, 669.762, -0.357 | Velocity: -0.281, -0.117, 0.004 | PlayerLevel: 24 | Name: Karlo_Falcone
[18.05.2017 | 20:45:12] Position: 1796.740, -1882.223, 14.486 | Velocity: 0.168, -0.020, 0.093 | PlayerLevel: 1 | Name: Carl_Tysonn
[19.05.2017 | 17:53:55] Position: 792.586, -2056.711, -0.518 | Velocity: -0.152, 0.170, 0.013 | PlayerLevel: 2 | Name: Dem4ik234
