[10.05.2017 | 11:05:07] PlayerDistToCar: 248.9 | TickCount: 171 | PlayerLevel: 1 | Name: Ruslan_Skryabin | 0.0 0.0 0.0 | veh -0.0 -0.0 -0.0
[10.05.2017 | 14:11:24] PlayerDistToCar: 220.6 | TickCount: 357 | PlayerLevel: 1 | Name: Edmon_Pradorich | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[10.05.2017 | 18:13:31] PlayerDistToCar: 24.5 | TickCount: 512 | PlayerLevel: 1 | Name: Bogdan_Tikhonovets | -0.0 -0.1 0.0 | veh -0.0 -0.3 0.0
[10.05.2017 | 21:45:48] PlayerDistToCar: 211.0 | TickCount: 102 | PlayerLevel: 1 | Name: Roman_Tsveloy | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[12.05.2017 | 20:24:28] PlayerDistToCar: 20.0 | TickCount: 177 | PlayerLevel: 1 | Name: Mario_Richards | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[13.05.2017 | 17:01:44] PlayerDistToCar: 44.3 | TickCount: 819 | PlayerLevel: 15 | Name: Hershel_Reddington | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[13.05.2017 | 19:09:27] PlayerDistToCar: 29.8 | TickCount: 824 | PlayerLevel: 2 | Name: Max_Bogdanovskiy | 0.0 -0.0 0.0 | veh 0.0 0.0 0.0
[13.05.2017 | 21:41:07] PlayerDistToCar: 137.7 | TickCount: 516 | PlayerLevel: 11 | Name: Ric_Magiano | 0.1 -0.1 -0.0 | veh 0.2 0.1 0.3
[14.05.2017 | 10:17:38] PlayerDistToCar: 55.4 | TickCount: 710 | PlayerLevel: 1 | Name: Abarzhdon_Baskov | 0.0 0.0 0.0 | veh -0.0 -0.3 -0.0
[14.05.2017 | 12:16:00] PlayerDistToCar: 24.1 | TickCount: 449 | PlayerLevel: 1 | Name: Adas_Forman | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[15.05.2017 | 12:32:26] PlayerDistToCar: 166.8 | TickCount: 876 | PlayerLevel: 1 | Name: Kim_Mcquezy | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[15.05.2017 | 17:29:36] PlayerDistToCar: 71.7 | TickCount: 31 | PlayerLevel: 1 | Name: Gamer_RUS | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[17.05.2017 | 17:02:16] PlayerDistToCar: 264.7 | TickCount: 184 | PlayerLevel: 17 | Name: Matthew_Inferno | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[17.05.2017 | 20:52:42] PlayerDistToCar: 24.9 | TickCount: 179 | PlayerLevel: 1 | Name: Enrico_Martines | -0.0 0.0 0.0 | veh 0.0 0.0 0.0
[17.05.2017 | 20:59:46] PlayerDistToCar: 24.9 | TickCount: 473 | PlayerLevel: 1 | Name: Enrica_Martinez | 0.0 0.0 0.0 | veh 0.0 -0.0 0.0
[18.05.2017 | 16:22:30] PlayerDistToCar: 117.9 | TickCount: 139 | PlayerLevel: 1 | Name: Boris_Andreev | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[19.05.2017 | 21:14:05] PlayerDistToCar: 95.3 | TickCount: 70 | PlayerLevel: 5 | Name: Alim_Kashirgov | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[25.05.2017 | 02:10:25] PlayerDistToCar: 155.4 | TickCount: 775 | PlayerLevel: 21 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[25.05.2017 | 02:10:59] PlayerDistToCar: 76.4 | TickCount: 921 | PlayerLevel: 21 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[25.05.2017 | 02:11:13] PlayerDistToCar: 80.3 | TickCount: 124 | PlayerLevel: 21 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[25.05.2017 | 02:11:22] PlayerDistToCar: 34.3 | TickCount: 170 | PlayerLevel: 21 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[1.06.2017 | 03:27:56] PlayerDistToCar: 254.4 | TickCount: 31 | PlayerLevel: 22 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 -0.4
[1.06.2017 | 03:32:17] PlayerDistToCar: 140.5 | TickCount: 93 | PlayerLevel: 22 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[1.06.2017 | 18:50:31] PlayerDistToCar: 131.1 | TickCount: 404 | PlayerLevel: 22 | Name: Nikita_Caypen | 0.0 0.0 0.0 | veh 0.0 0.0 0.0
[5.12.2017 | 12:04:32] PlayerDistToCar: 26.7 | TickCount: 66 | PlayerLevel: 456 | Name: Romulus_Miller | 0.0 0.0 0.0 | veh -0.0 0.0 0.0
